id,TotalStreamCounts,PeakStreamCounts,PeakPosition
2LhaQUFez282XCuTDSTDcV,2334715.0,37993.0,7.0
2MFqzQ3eJPM1dHCaioyU1s,513132.0,28351.0,108.0
2MT5rzYA4ZPCRZlbXyV660,83974.0,6723.0,150.0
2MjpqyEA73TzenhDmj0RFN,2157025.0,11939.0,52.0
2Nwi8X3bmgKU1zMQUsDTah,226967.0,16123.0,118.0
2OBZtEg8DXhICWYd6yvicf,869390.0,39963.0,25.0
2P9M7q49JXnwiab4TosOpW,861683.0,4684.0,63.0
2PYDUM2IC01FOTDLQdFxJP,20186864.0,32070.0,24.0
2Pwou3Q2Cf59RxdX2V6MgV,7107351.0,114677.0,9.0
2QCbYz4XN9mzi5LJBuB3iP,123666.0,26335.0,84.0
2QUU1AtY5fndKDNbr17EFk,4475628.0,66943.0,9.0
2QpMK4mvdyFW5N0JYohVdW,361613.0,13330.0,93.0
2QyOYFAxW2khNYee4yeT6r,1483264.0,29222.0,13.0
2SjNAO9lrQYRlXJK5pXWcn,17814.0,3514.0,86.0
2SmnoPHetB88xJwC6HJHGv,2861537.0,59906.0,14.0
2SqS42nIu3vLVYOaFelbar,119340.0,22044.0,72.0
2TqjLbM2E5I4ce6iWTdXly,870026.0,13223.0,93.0
2VHXCihhlSC2lUFoCaemRN,6285674.0,39586.0,5.0
2VqK7TIkcS7QYyubTvXqOW,372520.0,5981.0,120.0
2X2mIfNW5ZtLmVgpm9rgUX,1113252.0,42800.0,25.0
2YuINjtFaEi9E9WRv90bK6,1331063.0,92294.0,12.0
2ZJTmYNOA8k21yUtLXJG57,6390482.0,78050.0,2.0
2Zos792uWaDCqqnmPaBH1x,322444.0,22672.0,25.0
2a5hng9yXtbjtTVVm9UviC,21670921.0,81175.0,16.0
2bCmM1oT89JOpA8EdDJ51g,46119.0,9098.0,47.0
2bxVMMRP6AHvUVXHQrIBy9,338633.0,12005.0,64.0
2cHvbenIXJdO2yYWQry26q,681462.0,9267.0,80.0
2cJyuhqcXvd6ccvAn8NXsL,5423438.0,37446.0,33.0
2ctmaWoBxLBYiZB7AKmK1D,4248015.0,51469.0,32.0
2dPJtlvoa3GDowCh035M8P,4345855.0,60224.0,34.0
2dURSB1lDn5qiOyHLEZ34I,48897.0,3811.0,7.0
2ddbldKhKrYvOBbYa87cbj,6290667.0,102944.0,8.0
2e6uyFP80Vuaz7V7bDWD0e,1611899.0,47364.0,45.0
2fDFssQASymjUb2B3XYdpf,1137332.0,43655.0,47.0
2fxGSbMxakUf8XUd00rmED,4030411.0,12975.0,91.0
2g68ePl7VMltuOiuSTAz7I,2341978.0,27985.0,48.0
2gJJvC4a3BJogzRciwTZU8,183204.0,39401.0,92.0
2gT5LL3uRANxvvmDxaULbQ,3781933.0,5594.0,3.0
2hLg1Pbi7UFMGGBqOPY5Rb,106984.0,17910.0,132.0
2jcdws2044suWnDo8DTcKC,143508.0,27096.0,133.0
2kauMp3YNHXULGXyJh4321,16715340.0,133074.0,7.0
2kenOIzz3AlVKF7wGqzH3F,152290.0,11259.0,96.0
2klsSb2iTfgDh95Ak9uWY2,4886189.0,21356.0,15.0
2lGGlexu72TnPQPUHd8NWt,407278.0,18580.0,38.0
2mYjBkAtCUXRG2ioQmv3Rm,100609.0,10401.0,73.0
