id,date,vn_position,vn_stream_count,global_position,global_stream_count
1QwSqNlknVSTdmmtjsOGM9,Total,,535072.0,,
1QwSqNlknVSTdmmtjsOGM9,Peak,32.0,18122.0,,
1R1AFI3iNOYr0pGHwjFQBG,Total,,8682162.0,,
1R1AFI3iNOYr0pGHwjFQBG,Peak,85.0,41761.0,,
1RGA13K66cABN7nYek6WNk,Total,,5629387.0,,
1RGA13K66cABN7nYek6WNk,Peak,18.0,43030.0,,
1RQ4efnLx0zyowptKD5JEa,Total,,153951.0,,
1RQ4efnLx0zyowptKD5JEa,Peak,134.0,28338.0,,
1RRMwNycLH4pOgpdLj0iFk,Total,,140650.0,,
1RRMwNycLH4pOgpdLj0iFk,Peak,13.0,3436.0,,
1Rl6XZjjYq7zBJGALyGTZH,Total,,996892.0,,
1Rl6XZjjYq7zBJGALyGTZH,Peak,88.0,30675.0,,
1SIbk8ESYxiPiYjzLG01m4,Total,,180297.0,,
1SIbk8ESYxiPiYjzLG01m4,Peak,79.0,22549.0,,
1SzlLbTE7hTs75M2R1a1Tg,Total,,2779254.0,,
1SzlLbTE7hTs75M2R1a1Tg,Peak,24.0,13405.0,,
1TJtZKZFq2rdh9Wfpm15Nw,Total,,788186.0,,
1TJtZKZFq2rdh9Wfpm15Nw,Peak,18.0,49535.0,,
1TcmqSx576eBcuTxTtcEAk,Total,,2855546.0,,
1TcmqSx576eBcuTxTtcEAk,Peak,37.0,60053.0,,
1UDAnignfiklanSQ6MfPUE,Total,,108126.0,,
1UDAnignfiklanSQ6MfPUE,Peak,58.0,17136.0,,
1UL2QMgWPeNCJhznvr99Jk,Total,,405351.0,,
1UL2QMgWPeNCJhznvr99Jk,Peak,116.0,6164.0,,
1UQNU5O9VttUgO16pxUnjw,Total,,8488888.0,,
1UQNU5O9VttUgO16pxUnjw,Peak,47.0,49882.0,,
1Vla7vXcM0zimotYpresDT,Total,,10331925.0,,
1Vla7vXcM0zimotYpresDT,Peak,6.0,89710.0,,
1W5kZCi3DyAwUu1flTIHdZ,Total,,184281.0,,
1W5kZCi3DyAwUu1flTIHdZ,Peak,137.0,19304.0,,
1WCAkmmTM06in2ojuQ9CK5,Total,,1556438.0,,
1WCAkmmTM06in2ojuQ9CK5,Peak,6.0,46942.0,,
1X0cRJUAsFhEnaBhs4H7Yj,Total,,80352.0,,
1X0cRJUAsFhEnaBhs4H7Yj,Peak,72.0,9740.0,,
1XEOrZGHhmBxYciyWkkrs3,Total,,397912.0,,
1XEOrZGHhmBxYciyWkkrs3,Peak,33.0,33423.0,,
1ZSwYD21wiQCx3VYrnQHMm,Total,,317790.0,,
1ZSwYD21wiQCx3VYrnQHMm,Peak,54.0,34497.0,,
1ZgiJ8fiSEwd07OpB9ZuRz,Total,,3817754.0,,
1ZgiJ8fiSEwd07OpB9ZuRz,Peak,12.0,63697.0,,
1ZrADntHAYV84R2y1Op3Eg,Total,,2288853.0,,
1ZrADntHAYV84R2y1Op3Eg,Peak,1.0,16895.0,,
1ahMIChLwnLRGDu5AhMWZI,Total,,483420.0,,
1ahMIChLwnLRGDu5AhMWZI,Peak,131.0,28963.0,,
1aw1KeS9sT1mKPzs2hfqCz,Total,,750596.0,,
1aw1KeS9sT1mKPzs2hfqCz,Peak,130.0,3950.0,,
1bG6Q8sR8jda7ryI365y8o,Total,,32777815.0,,
1bG6Q8sR8jda7ryI365y8o,Peak,1.0,250035.0,,
1bRsQtD0IJN7D0aCslMg44,Total,,332193.0,,
1bRsQtD0IJN7D0aCslMg44,Peak,44.0,29675.0,,
1dMJhYvyH7I4RGcLUWAg3p,Total,,76234.0,,
1dMJhYvyH7I4RGcLUWAg3p,Peak,26.0,1876.0,,
1dUmmBh2nw8XzEI3au0uFs,Total,,21348688.0,,
1dUmmBh2nw8XzEI3au0uFs,Peak,3.0,44136.0,,
1eXc2ZMStMsQ5cuUrFCnlO,Total,,622468.0,,
1eXc2ZMStMsQ5cuUrFCnlO,Peak,75.0,25091.0,,
1efLujNOuRkB1zwpNKGeea,Total,,91408.0,,
1efLujNOuRkB1zwpNKGeea,Peak,74.0,8701.0,,
1fFvYVg1v3rpUSqKNCUh7b,Total,,655789.0,,
1fFvYVg1v3rpUSqKNCUh7b,Peak,126.0,22351.0,,
1fMLlneaBGENo5jhG1nZrM,Total,,39246.0,,
1fMLlneaBGENo5jhG1nZrM,Peak,109.0,4818.0,,
1hyDeosKOqqI4YcqFgzNlQ,Total,,319644.0,,
1hyDeosKOqqI4YcqFgzNlQ,Peak,75.0,16375.0,,
1izPmgSW7FV6XFdEOiTvOY,Total,,24034687.0,,
1izPmgSW7FV6XFdEOiTvOY,Peak,25.0,40009.0,,
1j18WxScysqcVZnCSc90nV,Total,,25283.0,,
1j18WxScysqcVZnCSc90nV,Peak,78.0,10868.0,,
1jtrGtWxnZUeKtSN4Xxh1e,Total,,330822.0,,
1jtrGtWxnZUeKtSN4Xxh1e,Peak,156.0,6702.0,,
1lNJbioKb7Zue9sf2wcaWN,Total,,63588.0,,
1lNJbioKb7Zue9sf2wcaWN,Peak,85.0,6503.0,,
1m4BSQjgXAfoR4dBAapAr7,Total,,3813688.0,,
1m4BSQjgXAfoR4dBAapAr7,Peak,108.0,26944.0,,
1mKDbug8bbfDmLe7I4CJpe,Total,,20780310.0,,
1mKDbug8bbfDmLe7I4CJpe,Peak,1.0,33236.0,,
1n5vwy1usk9prr2Yuh9Lt8,Total,,87029.0,,
1n5vwy1usk9prr2Yuh9Lt8,Peak,63.0,9286.0,,
1nut0CDNqlXFtV4U3Md5ds,Total,,278247.0,,
1nut0CDNqlXFtV4U3Md5ds,Peak,74.0,11951.0,,
1o6cYDMHvKOfizi4d9Lqxr,Total,,33642969.0,,
1o6cYDMHvKOfizi4d9Lqxr,Peak,3.0,106957.0,,
1ojUtV3R0T0fKfFaAiCT2S,Total,,35492.0,,
1ojUtV3R0T0fKfFaAiCT2S,Peak,146.0,5398.0,,
1pJ2smpPxbfAYqPsrbcXFP,Total,,43822.0,,
1pJ2smpPxbfAYqPsrbcXFP,Peak,104.0,4433.0,,
1pQHqk6qWM5xbNeobMCGBZ,Total,,3366128.0,,
1pQHqk6qWM5xbNeobMCGBZ,Peak,2.0,43144.0,,
1pwyiEOvhXLvlpzTZcgfhe,Total,,1542538.0,,
1pwyiEOvhXLvlpzTZcgfhe,Peak,40.0,47257.0,,
1rCurScVWswOm8jVmCOLxn,Total,,86256.0,,
1rCurScVWswOm8jVmCOLxn,Peak,93.0,9345.0,,
1rJyVbXb3njXbN3lokllKf,Total,,523210.0,,
1rJyVbXb3njXbN3lokllKf,Peak,107.0,4244.0,,
1reHbbphR273qQ651F6Vna,Total,,231266.0,,
1reHbbphR273qQ651F6Vna,Peak,3.0,7130.0,,
1u3aGopt09bxmUDs8c94XY,Total,,827730.0,,
1u3aGopt09bxmUDs8c94XY,Peak,156.0,21468.0,,
1vtQjPCcdE7FgrxQd5doWP,Total,,1184689.0,,
1vtQjPCcdE7FgrxQd5doWP,Peak,92.0,9067.0,,
1w3eUC89GPspKpi62tPwjt,Total,,22035041.0,,
1w3eUC89GPspKpi62tPwjt,Peak,2.0,42189.0,,
1wG0HYACxdu3Kdz3mI4ca6,Total,,521282.0,,
1wG0HYACxdu3Kdz3mI4ca6,Peak,101.0,32860.0,,
1wl7BgRuEYJfmINb0ncS5b,Total,,222221.0,,
1wl7BgRuEYJfmINb0ncS5b,Peak,114.0,6395.0,,
1wmYHps3Ww2wfG6FEmjzuX,Total,,58432.0,,
1wmYHps3Ww2wfG6FEmjzuX,Peak,40.0,3676.0,,
1xoadYaxtOp9gHDwgmPDuz,Total,,38301015.0,,
1xoadYaxtOp9gHDwgmPDuz,Peak,2.0,54316.0,,
1yo967mk7CpjvruNxBecOY,Total,,9700225.0,,
1yo967mk7CpjvruNxBecOY,Peak,19.0,38419.0,,
1zzCiwKpbS6zNC3OAdejd2,Total,,5142267.0,,
1zzCiwKpbS6zNC3OAdejd2,Peak,13.0,87857.0,,
20jc2qrUesWnyDYnWq0XW8,Total,,2152893.0,,
20jc2qrUesWnyDYnWq0XW8,Peak,120.0,31563.0,,
21x7Ld7I7X7HQtDgS8al5Z,Total,,2481459.0,,
21x7Ld7I7X7HQtDgS8al5Z,Peak,26.0,68692.0,,
226ljdOTLM2clGpm4mZvAm,Total,,10268567.0,,
226ljdOTLM2clGpm4mZvAm,Peak,13.0,86274.0,,
229P16G6GFOCDUNiUNusc4,Total,,292797.0,,
229P16G6GFOCDUNiUNusc4,Peak,62.0,43888.0,,
