id,TotalStreamCounts,PeakStreamCounts,PeakPosition
3MlvHVRytWiXpSHEeZVF0I,842656.0,238342.0,125.0
3Ndroo5HpBKKTRGYReAYHM,2496835.0,239626.0,61.0
3Nn9QjxOEj1pleW9xTG6cq,10591614.0,729164.0,13.0
3NvH1v6NOxlawEoCXjg9sK,1589583.0,215995.0,81.0
3O3h5nceJQgZ6wMIPCoJzj,453954.0,168472.0,128.0
3OVMe3H6iAxbLF8iD2UYrw,25740700.0,2555804.0,1.0
3P3rcI48wwVEgxF5vPM6pG,11612484.0,222310.0,73.0
3QjcsqERv4IfmopRvXFoWB,1761743.0,279292.0,65.0
3Sg9sJ1VxG91hvcRFrVuH7,1668782.0,38736.0,48.0
3U5WFUIgOaA1U7GdTs4yjQ,3880483.0,243669.0,2.0
3XCp5o1FUpAH0aj2Hmj5yz,10706543.0,603389.0,12.0
3YctJXK6kznnWl68TnYobN,35381009.0,699345.0,3.0
3Yfedn84e2VLXSVwmowqEn,754103.0,178245.0,16.0
3ZbZtdEw9U0uZW4tZItIwq,37706220.0,902974.0,6.0
3b34161QoxLwsqhWSPy9i5,32550362.0,204075.0,1.0
3bEAVuzTJ1Pd4ZGj2ykqnB,5130.0,5130.0,194.0
3bZGGKrMQLDGg18y2QqKFF,7368266.0,213291.0,7.0
3dvkpe9FEekxxgaQtxOHQI,6235974.0,175174.0,27.0
3fw9v7CztM2mqu1jCtbg9f,2020027.0,235875.0,37.0
3g0Dwgd36QRmPecFIoubg4,1397492.0,254995.0,36.0
3ho1OQb9SFtCt3MIiRZ8Si,2850383.0,224464.0,9.0
3hqOrxH5qPlvrApcb7Ac8c,22952668.0,370914.0,33.0
3i6VNcn9dFpU1K2ZaMFHTC,1069521.0,149746.0,108.0
3keyZ8cXkQ57melgiAsJ5m,602490.0,181934.0,57.0
