id,date,vn_position,vn_stream_count,global_position,global_stream_count
0y4JreJemfzXhr3NkKCm5g,Peak,173.0,54530.0,,
0ymILt2M0bSmIr6wQzodN0,Total,,272316.0,,
0ymILt2M0bSmIr6wQzodN0,Peak,80.0,81085.0,,
0zCGKGZB5aySnQQSHWRGIT,Total,,823677.0,,
0zCGKGZB5aySnQQSHWRGIT,Peak,9.0,156291.0,,
10AZ3ChoIGMxvcCoFsoFjf,Total,,450221.0,,
10AZ3ChoIGMxvcCoFsoFjf,Peak,110.0,174237.0,,
11OxuU5y7ebAJyKaY8dOl0,Total,,3017900.0,,
11OxuU5y7ebAJyKaY8dOl0,Peak,104.0,133816.0,,
11hcyWq7qSwBE3bvv5Ialn,Total,,8872941.0,,
11hcyWq7qSwBE3bvv5Ialn,Peak,67.0,175516.0,,
129tzbtZ8PRLVo33ymZigS,Total,,52567.0,,
129tzbtZ8PRLVo33ymZigS,Peak,183.0,26640.0,,
12rIwDpMKwx77nV5O998nB,Total,,2693304.0,,
12rIwDpMKwx77nV5O998nB,Peak,41.0,378885.0,,
12t0f9NV6eEQXX8SPaI6AJ,Total,,261428.0,,
12t0f9NV6eEQXX8SPaI6AJ,Peak,88.0,75362.0,,
12u5BtXNMTifuzasyXzbOU,Total,,164106.0,,
12u5BtXNMTifuzasyXzbOU,Peak,156.0,164106.0,,
1465dD5VklIYHkKfcfirkU,Total,,2396239.0,,
1465dD5VklIYHkKfcfirkU,Peak,36.0,405829.0,,
1503Da6qbgNifRnRwIjtZe,Total,,4683771.0,,
1503Da6qbgNifRnRwIjtZe,Peak,1.0,178359.0,,
15yC0BCinDyknKpjk0VLku,Total,,31786.0,,
15yC0BCinDyknKpjk0VLku,Peak,194.0,31786.0,,
170CNv2CAZn8wg6GxvHXYC,Total,,521408.0,,
170CNv2CAZn8wg6GxvHXYC,Peak,141.0,110408.0,,
17vw2n25C8g7KKCilJ3pER,Total,,1410715.0,,
17vw2n25C8g7KKCilJ3pER,Peak,68.0,118832.0,,
18iADruKMXIloyA9vCJXFE,Total,,7065889.0,,
18iADruKMXIloyA9vCJXFE,Peak,56.0,267757.0,,
193luTcDfusSUv3yqs1gGj,Total,,1565636.0,,
193luTcDfusSUv3yqs1gGj,Peak,11.0,497361.0,,
194xS2oTIYL5u1IK0Q0oj0,Total,,1162195.0,,
194xS2oTIYL5u1IK0Q0oj0,Peak,62.0,155397.0,,
1As8r6FTcDZDSKndGtJHMm,Total,,3960522.0,,
1As8r6FTcDZDSKndGtJHMm,Peak,51.0,364302.0,,
1As8r6FTcDZDSKndGtJHMm,Peak,48.0,54899.0,,
1DkYLzjwHaesQYObT2c3X2,Total,,336804.0,,
1DkYLzjwHaesQYObT2c3X2,Peak,75.0,203041.0,,
1DmMJL7KrTEC5MDTvYpfLD,Total,,207130.0,,
1DmMJL7KrTEC5MDTvYpfLD,Peak,52.0,91600.0,,
1Dyf0sRNi4bns4TeWgKpVY,Total,,4280952.0,,
1Dyf0sRNi4bns4TeWgKpVY,Peak,39.0,99537.0,,
1EmMFSLRVkOszCa4ul9z0F,Total,,32555420.0,,
1EmMFSLRVkOszCa4ul9z0F,Peak,1.0,312899.0,,
1GJ3suxtUVaguVQRemw6Zp,Total,,15498836.0,,
1GJ3suxtUVaguVQRemw6Zp,Peak,74.0,261068.0,,
1Gqm6KaobG2A1mFVjGnJsS,Total,,167152.0,,
1Gqm6KaobG2A1mFVjGnJsS,Peak,166.0,167152.0,,
1HWa2i5mZzs2VImVqwwfuI,Total,,1796702.0,,
1HWa2i5mZzs2VImVqwwfuI,Peak,64.0,156852.0,,
1He7z9P4RbIAa0rNCUaIMN,Total,,726408.0,,
1He7z9P4RbIAa0rNCUaIMN,Peak,104.0,201120.0,,
1IyaXs95EqH8emANUrhRwH,Total,,213443.0,,
1IyaXs95EqH8emANUrhRwH,Peak,110.0,28673.0,,
1J12HjUuXfJnaUdubTEzSR,Total,,30769154.0,,
1J12HjUuXfJnaUdubTEzSR,Peak,35.0,423511.0,,
1K0HQ30Wc11okzlcnFA7Ub,Total,,41461432.0,,
1K0HQ30Wc11okzlcnFA7Ub,Peak,7.0,936223.0,,
1K3CXUYKhLYN7koLW5WQjX,Total,,12997214.0,,
1K3CXUYKhLYN7koLW5WQjX,Peak,5.0,641803.0,,
1LxaXT8hwdBWSNpOqTjF8R,Total,,4746980.0,,
1LxaXT8hwdBWSNpOqTjF8R,Peak,13.0,403320.0,,
1MU2oGnL6EdBDQ02wVUOMX,Total,,6595.0,,
1MU2oGnL6EdBDQ02wVUOMX,Peak,94.0,6595.0,,
1MiJk3dXC5jzhvLFP0dUM7,Total,,33555826.0,,
1MiJk3dXC5jzhvLFP0dUM7,Peak,1.0,370936.0,,
1OcT17F9VeSAvLBlk4GBc8,Total,,170690.0,,
1OcT17F9VeSAvLBlk4GBc8,Peak,173.0,170690.0,,
1QKaj0g8pammcGn0JU8nnd,Total,,867864.0,,
1QKaj0g8pammcGn0JU8nnd,Peak,38.0,218638.0,,
1QwSqNlknVSTdmmtjsOGM9,Total,,506907.0,,
1QwSqNlknVSTdmmtjsOGM9,Peak,43.0,114748.0,,
1R1AFI3iNOYr0pGHwjFQBG,Total,,8513886.0,,
1R1AFI3iNOYr0pGHwjFQBG,Peak,106.0,240540.0,,
1RGA13K66cABN7nYek6WNk,Total,,5613625.0,,
1RGA13K66cABN7nYek6WNk,Peak,17.0,276968.0,,
1RQ4efnLx0zyowptKD5JEa,Total,,153159.0,,
1RQ4efnLx0zyowptKD5JEa,Peak,195.0,153159.0,,
1RRMwNycLH4pOgpdLj0iFk,Total,,152470.0,,
1RRMwNycLH4pOgpdLj0iFk,Peak,17.0,21857.0,,
1Rl6XZjjYq7zBJGALyGTZH,Total,,1016112.0,,
1Rl6XZjjYq7zBJGALyGTZH,Peak,122.0,171722.0,,
1SIbk8ESYxiPiYjzLG01m4,Total,,122264.0,,
1SIbk8ESYxiPiYjzLG01m4,Peak,118.0,122264.0,,
1SzlLbTE7hTs75M2R1a1Tg,Total,,2786838.0,,
1SzlLbTE7hTs75M2R1a1Tg,Peak,32.0,87729.0,,
1TJtZKZFq2rdh9Wfpm15Nw,Total,,744043.0,,
1TJtZKZFq2rdh9Wfpm15Nw,Peak,48.0,210400.0,,
1TcmqSx576eBcuTxTtcEAk,Total,,2815143.0,,
1TcmqSx576eBcuTxTtcEAk,Peak,42.0,390732.0,,
1UDAnignfiklanSQ6MfPUE,Total,,86968.0,,
1UDAnignfiklanSQ6MfPUE,Peak,106.0,86968.0,,
1UL2QMgWPeNCJhznvr99Jk,Total,,409007.0,,
1UL2QMgWPeNCJhznvr99Jk,Peak,137.0,37241.0,,
1UQNU5O9VttUgO16pxUnjw,Total,,8656651.0,,
1UQNU5O9VttUgO16pxUnjw,Peak,57.0,325096.0,,
1Vla7vXcM0zimotYpresDT,Total,,10337947.0,,
1Vla7vXcM0zimotYpresDT,Peak,7.0,526510.0,,
1W5kZCi3DyAwUu1flTIHdZ,Total,,222385.0,,
1W5kZCi3DyAwUu1flTIHdZ,Peak,183.0,114920.0,,
1WCAkmmTM06in2ojuQ9CK5,Total,,1575866.0,,
1WCAkmmTM06in2ojuQ9CK5,Peak,9.0,221243.0,,
1X0cRJUAsFhEnaBhs4H7Yj,Total,,70754.0,,
1X0cRJUAsFhEnaBhs4H7Yj,Peak,125.0,38545.0,,
1XEOrZGHhmBxYciyWkkrs3,Total,,373101.0,,
1XEOrZGHhmBxYciyWkkrs3,Peak,75.0,146787.0,,
1ZSwYD21wiQCx3VYrnQHMm,Total,,285476.0,,
1ZSwYD21wiQCx3VYrnQHMm,Peak,111.0,165295.0,,
1ZgiJ8fiSEwd07OpB9ZuRz,Total,,3822518.0,,
1ZgiJ8fiSEwd07OpB9ZuRz,Peak,15.0,400521.0,,
1ZrADntHAYV84R2y1Op3Eg,Total,,2358694.0,,
1ZrADntHAYV84R2y1Op3Eg,Peak,1.0,90792.0,,
1ahMIChLwnLRGDu5AhMWZI,Total,,350585.0,,
1ahMIChLwnLRGDu5AhMWZI,Peak,160.0,183037.0,,
1aw1KeS9sT1mKPzs2hfqCz,Total,,836275.0,,
