album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
Rap Việt Season 2 - Tập 10,single,26,"['RAP VIỆT', 'Sol7', 'prettyXIX']",1,193846,False,2axlAOp86SPuqSBlwLw4WM,101520 (feat. Sol7 & prettyXIX),30,4,2021-12-22,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",2426991.0
Anh Không Hiểu,single,19,"['Sol7', 'DCOD']",1,130056,False,3ddHvtP35rISbSKqikyufP,Anh Không Hiểu,28,1,2021-01-06,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",2056718.0
Better Day,single,18,"['Sol7', 'DCOD']",1,188232,True,1MVPHSWRIt5cRPM2iva68T,Better Day,27,1,2021-01-06,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",1549136.0
Up in the Hills,single,17,"['prettyXIX', 'Kim Chi Sun', 'Sol7']",1,230598,True,5IbC4b2JHThzS2zCv4ptoi,Up in the Hills,26,1,2019-01-02,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",693251.0
Chẳng Thể Biết,single,15,"['Sol7', 'Young Tulo', 'Smokele']",1,236242,False,26FhpUySDPEGQG845xJU8i,Chẳng Thể Biết,24,1,2021-06-21,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",675245.0
Ngược Dòng,single,15,"['Sol7', 'DCOD']",1,200086,False,1qp5uTrpqiu1udJTc564Qa,Ngược Dòng,24,1,2021-08-01,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",856974.0
Cạm Bẫy (The Rap Game),single,14,"['Dick', 'Ngắn', 'Sol7', 'Ziog']",1,274680,False,20dqVz9WGY1KHqLWtRVubX,Cạm Bẫy (The Rap Game ),23,1,2022-04-27,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",214590.0
Tan Ra,single,12,"['Sol7', 'Koo']",1,167111,False,4FHSl1lTdbWD4Cr3qE6CJY,Tan Ra,21,1,2022-04-20,"['vinahouse', 'vietnam indie', 'v-pop', 'vietnamese hip hop', 'vietnamese lo-fi']",821846.0
Icy Heart (Rmx),single,12,"['Sol7', 'Ricky Star', 'DCOD']",1,162899,True,69jxVkNMtSGOO7fSDEwcov,Icy Heart (Rmx),21,1,2021-01-06,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",977318.0
Suy Nghĩ Về Đêm (feat. GPG msmy),single,11,"['Sol7', 'NowB', 'P$mall', 'GPG msmy']",1,256924,True,30f9fCNJgJjfP2E3d72TtD,Suy Nghĩ Về Đêm (feat. GPG msmy),19,1,2023-11-23,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",130331.0
Anh Vẫn Còn,single,10,"['Sol7', 'MKid', 'Smokele']",1,189383,False,7gKvdeiaI4deA0RYH88gEH,Anh Vẫn Còn,18,1,2021-01-06,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",688396.0
